module_slug,question_text,pattern,option_a,option_a_weights,option_a_behavior,option_b,option_b_weights,option_b_behavior,option_c,option_c_weights,option_c_behavior,option_d,option_d_weights,option_d_behavior,tags
personality,"Which mistake would you rather make?",trade_off,"Trusting someone who turned out not to deserve it.",empathy:3;teamwork:2;risk_tolerance:1,Over-trusting,"Checking work that did not need checking.",accountability:3;ownership:2;empathy:-2,Over-checking,,,,,,,fixture;advanced
personality,"Which costs you more?",trade_off,"Being asked to change direction after you have committed to a plan.",adaptability:-3;accountability:2,Dislikes change,"Being left to decide without enough information.",risk_tolerance:-3;adaptability:1,Dislikes ambiguity,,,,,,,fixture;advanced
personality,"Which is closer to how you work?",trade_off,"I would rather be corrected early and often.",resilience:3;adaptability:2;communication:1,Wants feedback,"I would rather be given room and judged on the result.",ownership:3;risk_tolerance:2;communication:-2,Wants autonomy,,,,,,,fixture;advanced
personality,"Which describes you better under sustained pressure?",forced_choice,"I get quieter and more methodical.",resilience:3;accountability:2;communication:-1,Withdraws inward,"I get more vocal and pull people together.",leadership:3;communication:3;resilience:1,Rallies others,,,,,,,fixture;advanced
personality,"Which describes you better?",forced_choice,"I would rather fix the cause and miss the deadline.",ownership:3;integrity:2;accountability:-1,Fixes causes,"I would rather patch it now and fix the cause after.",adaptability:3;accountability:2;ownership:-1,Ships first,,,,,,,fixture;advanced
personality,"Which describes you better?",forced_choice,"I say what I think in the room, even when it is unwelcome.",communication:3;integrity:3;empathy:-2,Speaks up,"I raise difficult things privately, afterwards.",empathy:3;communication:1;integrity:1,Raises privately,,,,,,,fixture;advanced
personality,"Which describes you better?",forced_choice,"I am comfortable making a call other people will dislike.",leadership:3;risk_tolerance:3;empathy:-2,Decides regardless,"I want the people affected to have had their say first.",empathy:3;teamwork:3;leadership:-1,Builds consent,,,,,,,fixture;advanced
personality,"Rank these from most like you to least like you when a project goes badly wrong.",ranking,"Taking responsibility publicly, whoever caused it.",accountability:3;leadership:3;integrity:2,Takes the blame,"Working out what broke before saying anything.",ownership:3;accountability:1,Diagnoses first,"Making sure the team does not lose confidence.",empathy:3;leadership:2;teamwork:2,Steadies the team,"Changing the plan fast rather than defending the old one.",adaptability:3;risk_tolerance:2,Changes course,fixture;advanced
personality,"Rank these from most like you to least like you.",ranking,"Telling someone something they will not want to hear.",integrity:3;communication:3;empathy:-1,Direct,"Sticking with a decision when it gets uncomfortable.",resilience:3;accountability:2,Holds the line,"Changing your mind publicly when the evidence shifts.",adaptability:3;integrity:2;ownership:-1,Updates openly,"Letting someone else take the lead when they are better placed.",teamwork:3;empathy:2;leadership:-2,Steps back,fixture;advanced
personality,"Rank these from most to least important in the people you work with.",ranking,"They do what they said they would do.",accountability:3;integrity:2,Values reliability,"They tell you when something is wrong early.",communication:3;integrity:2,Values candour,"They keep going when the work stops being interesting.",resilience:3;ownership:2,Values persistence,"They change approach when the first one fails.",adaptability:3;risk_tolerance:1,Values flexibility,fixture;advanced
